# git_commit: 89304bcda945da516850c3ae8bf4cc2cc413abf4
# recorded_at: 2026-09-20T05:32:30Z
# name_columns_superseded_by: 21e5080 (PR #8, wuku-table-fix-20260919)
# schema: cycle_position|...|WUKU_NAME (column 13)
IDX|GREGORIAN|DEW_POS|WUKU_IDX|WUKU_NAME|PAN|SAP|TRI|SAD|CAT|AST|SNG|DAS|DWI|DEW_LUANG_PROXY
141|1982-01-11|142|21|Watugunung|2|2|1|4|2|6|7|2|Pepet|F
142|1982-01-12|143|21|Watugunung|3|3|2|5|3|7|8|3|Pepet|F
143|1982-01-13|144|21|Watugunung|4|4|3|6|4|8|9|4|Pepet|F
144|1982-01-14|145|21|Watugunung|5|5|1|1|1|1|1|5|Pepet|F
145|1982-01-15|146|21|Watugunung|1|6|2|2|2|2|2|4|Pepet|F
146|1982-01-16|147|21|Watugunung|2|7|3|3|3|3|3|6|Menga|T
147|1982-01-17|148|22|Srigati|3|1|1|4|4|4|4|7|Pepet|F
148|1982-01-18|149|22|Srigati|4|2|2|5|1|5|5|8|Menga|T
149|1982-01-19|150|22|Srigati|5|3|3|6|2|6|6|9|Menga|T
150|1982-01-20|151|22|Srigati|1|4|1|1|3|7|7|6|Menga|T
151|1982-01-21|152|22|Srigati|2|5|2|2|4|8|8|4|Pepet|F
152|1982-01-22|153|22|Srigati|3|6|3|3|1|1|9|10|Menga|T
153|1982-01-23|154|22|Srigati|4|7|1|4|2|2|1|3|Pepet|F
154|1982-01-24|155|23|Pendebwake|5|1|2|5|3|3|2|10|Menga|T
155|1982-01-25|156|23|Pendebwake|1|2|3|6|4|4|3|5|Pepet|F
156|1982-01-26|157|23|Pendebwake|2|3|1|1|1|5|4|10|Menga|T
157|1982-01-27|158|23|Pendebwake|3|4|2|2|2|6|5|2|Pepet|F
158|1982-01-28|159|23|Pendebwake|4|5|3|3|3|7|6|6|Menga|T
159|1982-01-29|160|23|Pendebwake|5|6|1|4|4|8|7|2|Pepet|F
160|1982-01-30|161|23|Pendebwake|1|7|2|5|1|1|8|9|Menga|T
161|1982-01-31|162|24|Krton|2|1|3|6|2|2|9|8|Menga|T
162|1982-02-01|163|24|Krton|3|2|1|1|3|3|1|9|Menga|T
163|1982-02-02|164|24|Krton|4|3|2|2|4|4|2|2|Pepet|F
164|1982-02-03|165|24|Krton|5|4|3|3|1|5|3|8|Menga|T
165|1982-02-04|166|24|Krton|1|5|1|4|2|6|4|3|Pepet|F
166|1982-02-05|167|24|Krton|2|6|2|5|3|7|5|5|Pepet|F
167|1982-02-06|168|24|Krton|3|7|3|6|4|8|6|5|Pepet|F
168|1982-02-07|169|25|Temu|4|1|1|1|1|1|7|5|Pepet|F
169|1982-02-08|170|25|Temu|5|2|2|2|2|2|8|7|Pepet|F
170|1982-02-09|171|25|Temu|1|3|3|3|3|3|9|8|Menga|T
171|1982-02-10|172|25|Temu|2|4|1|4|4|4|1|1|Menga|T
172|1982-02-11|173|25|Temu|3|5|2|5|1|5|2|8|Menga|T
173|1982-02-12|174|25|Temu|4|6|3|6|2|6|3|1|Menga|T
174|1982-02-13|175|25|Temu|5|7|1|1|3|7|4|1|Menga|T
175|1982-02-14|176|26|Tambir|1|1|2|2|4|8|5|1|Menga|T
176|1982-02-15|177|26|Tambir|2|2|3|3|1|1|6|2|Pepet|F
177|1982-02-16|178|26|Tambir|3|3|1|4|2|2|7|3|Pepet|F
178|1982-02-17|179|26|Tambir|4|4|2|5|3|3|8|4|Pepet|F
179|1982-02-18|180|26|Tambir|5|5|3|6|4|4|9|5|Pepet|F
180|1982-02-19|181|26|Tambir|1|6|1|1|1|5|1|4|Pepet|F
181|1982-02-20|182|26|Tambir|2|7|2|2|2|6|2|6|Menga|T
182|1982-02-21|183|27|Pradaksine|3|1|3|3|3|7|3|7|Pepet|F
183|1982-02-22|184|27|Pradaksine|4|2|1|4|4|8|4|8|Menga|T
184|1982-02-23|185|27|Pradaksine|5|3|2|5|1|1|5|9|Menga|T
185|1982-02-24|186|27|Pradaksine|1|4|3|6|2|2|6|6|Menga|T
186|1982-02-25|187|27|Pradaksine|2|5|1|1|3|3|7|4|Pepet|F
187|1982-02-26|188|27|Pradaksine|3|6|2|2|4|4|8|10|Menga|T
188|1982-02-27|189|27|Pradaksine|4|7|3|3|1|5|9|3|Pepet|F
189|1982-02-28|190|28|Batu|5|1|1|4|2|6|1|10|Menga|T
190|1982-03-01|191|28|Batu|1|2|2|5|3|7|2|5|Pepet|F
191|1982-03-02|192|28|Batu|2|3|3|6|4|8|3|10|Menga|T
192|1982-03-03|193|28|Batu|3|4|1|1|1|1|4|2|Pepet|F
193|1982-03-04|194|28|Batu|4|5|2|2|2|2|5|6|Menga|T
194|1982-03-05|195|28|Batu|5|6|3|3|3|3|6|2|Pepet|F
195|1982-03-06|196|28|Batu|1|7|1|4|4|4|7|9|Menga|T
196|1982-03-07|197|29|Watu|2|1|2|5|1|5|8|8|Menga|T
197|1982-03-08|198|29|Watu|3|2|3|6|2|6|9|9|Menga|T
198|1982-03-09|199|29|Watu|4|3|1|1|3|7|1|2|Pepet|F
199|1982-03-10|200|29|Watu|5|4|2|2|4|8|2|8|Menga|T
200|1982-03-11|201|29|Watu|1|5|3|3|1|1|3|3|Pepet|F
201|1982-03-12|202|29|Watu|2|6|1|4|2|2|4|5|Pepet|F
202|1982-03-13|203|29|Watu|3|7|2|5|3|3|5|5|Pepet|F
203|1982-03-14|204|30|Sungkun|4|1|3|6|4|4|6|5|Pepet|F
204|1982-03-15|205|30|Sungkun|5|2|1|1|1|5|7|7|Pepet|F
205|1982-03-16|206|30|Sungkun|1|3|2|2|2|6|8|8|Menga|T
206|1982-03-17|207|30|Sungkun|2|4|3|3|3|7|9|1|Menga|T
207|1982-03-18|208|30|Sungkun|3|5|1|4|4|8|1|8|Menga|T
208|1982-03-19|209|30|Sungkun|4|6|2|5|1|1|2|1|Menga|T
209|1982-03-20|210|30|Sungkun|5|7|3|6|2|2|3|1|Menga|T
