# git_commit: 73db67d269db4b4de527d7d09f7f69fdcb408ae4
# recorded_at: 2026-09-20T05:32:30Z
# invariant_across: 21e5080 (PR #8, wuku-table-fix-20260919) — no name columns
POS|DEWATA_POS|LUANG|DWI|TRI|CAT|PAN|SAD|SAP|AST|SNG|DAS
172|173|T|Menga|2|1|3|5|5|5|2|8
173|174|T|Menga|3|2|4|6|6|6|3|1
174|175|T|Menga|1|3|5|1|7|7|4|1
175|176|T|Menga|2|4|1|2|1|8|5|1
176|177|F|Pepet|3|1|2|3|2|1|6|2
177|178|F|Pepet|1|2|3|4|3|2|7|3
178|179|F|Pepet|2|3|4|5|4|3|8|4
179|180|F|Pepet|3|4|5|6|5|4|9|5
180|181|F|Pepet|1|1|1|1|6|5|1|4
181|182|T|Menga|2|2|2|2|7|6|2|6
182|183|F|Pepet|3|3|3|3|1|7|3|7
183|184|T|Menga|1|4|4|4|2|8|4|8
184|185|T|Menga|2|1|5|5|3|1|5|9
185|186|T|Menga|3|2|1|6|4|2|6|6
186|187|F|Pepet|1|3|2|1|5|3|7|4
187|188|T|Menga|2|4|3|2|6|4|8|10
188|189|F|Pepet|3|1|4|3|7|5|9|3
189|190|T|Menga|1|2|5|4|1|6|1|10
190|191|F|Pepet|2|3|1|5|2|7|2|5
191|192|T|Menga|3|4|2|6|3|8|3|10
192|193|F|Pepet|1|1|3|1|4|1|4|2
193|194|T|Menga|2|2|4|2|5|2|5|6
194|195|F|Pepet|3|3|5|3|6|3|6|2
195|196|T|Menga|1|4|1|4|7|4|7|9
196|197|T|Menga|2|1|2|5|1|5|8|8
197|198|T|Menga|3|2|3|6|2|6|9|9
198|199|F|Pepet|1|3|4|1|3|7|1|2
199|200|T|Menga|2|4|5|2|4|8|2|8
200|201|F|Pepet|3|1|1|3|5|1|3|3
201|202|F|Pepet|1|2|2|4|6|2|4|5
202|203|F|Pepet|2|3|3|5|7|3|5|5
203|204|F|Pepet|3|4|4|6|1|4|6|5
204|205|F|Pepet|1|1|5|1|2|5|7|7
205|206|T|Menga|2|2|1|2|3|6|8|8
206|207|T|Menga|3|3|2|3|4|7|9|1
207|208|T|Menga|1|4|3|4|5|8|1|8
208|209|T|Menga|2|1|4|5|6|1|2|1
209|210|T|Menga|3|2|5|6|7|2|3|1
